time,open,high,low,close,tick_volume,spread,real_volume
2026-05-27 12:15:00,1.34333,1.34447,1.34313,1.34376,744,7,0
2026-05-27 12:20:00,1.3437299999999999,1.34565,1.3437000000000001,1.34452,1071,7,0
2026-05-27 12:25:00,1.34454,1.34549,1.34447,1.34525,673,7,0
2026-05-27 12:30:00,1.3452899999999999,1.34559,1.34494,1.34506,481,7,0
2026-05-27 12:35:00,1.34505,1.34552,1.34486,1.3452600000000001,605,7,0
2026-05-27 12:40:00,1.3453,1.34536,1.34481,1.34483,363,7,0
2026-05-27 12:45:00,1.34482,1.34491,1.34436,1.3446500000000001,338,7,0
2026-05-27 12:50:00,1.34466,1.34481,1.34447,1.34475,328,7,0
2026-05-27 12:55:00,1.34473,1.34482,1.34385,1.34399,328,7,0
2026-05-27 13:00:00,1.3439999999999999,1.3448,1.34392,1.34457,415,7,0
2026-05-27 13:05:00,1.34459,1.34474,1.34416,1.34435,319,7,0
2026-05-27 13:10:00,1.34436,1.34463,1.3443399999999999,1.34449,290,7,0
2026-05-27 13:15:00,1.34449,1.34477,1.3443399999999999,1.34449,308,7,0
2026-05-27 13:20:00,1.3445,1.3445,1.34406,1.3444,260,7,0
2026-05-27 13:25:00,1.34443,1.3447,1.34416,1.3444,314,7,0
2026-05-27 13:30:00,1.3443800000000001,1.34488,1.34422,1.34479,373,7,0
2026-05-27 13:35:00,1.34477,1.34488,1.3441100000000001,1.34426,383,7,0
2026-05-27 13:40:00,1.34425,1.34457,1.34422,1.34435,336,7,0
2026-05-27 13:45:00,1.34433,1.34475,1.34422,1.34445,360,7,0
2026-05-27 13:50:00,1.34445,1.34475,1.34405,1.34424,377,7,0
2026-05-27 13:55:00,1.34424,1.34469,1.34406,1.34462,309,7,0
2026-05-27 14:00:00,1.3446500000000001,1.34491,1.34422,1.34457,368,7,0
2026-05-27 14:05:00,1.34456,1.34478,1.34426,1.34456,348,7,0
2026-05-27 14:10:00,1.34458,1.34522,1.34446,1.34518,342,7,0
2026-05-27 14:15:00,1.34518,1.34566,1.3449,1.34562,347,7,0
2026-05-27 14:20:00,1.34564,1.3458,1.3445,1.3446,533,7,0
2026-05-27 14:25:00,1.34463,1.34504,1.34457,1.34488,339,7,0
2026-05-27 14:30:00,1.34485,1.34535,1.34392,1.34457,850,7,0
2026-05-27 14:35:00,1.34457,1.34512,1.34443,1.34511,398,7,0
2026-05-27 14:40:00,1.34511,1.3452899999999999,1.34474,1.34504,387,7,0
2026-05-27 14:45:00,1.34506,1.3453,1.3443800000000001,1.3443800000000001,389,7,0
2026-05-27 14:50:00,1.34436,1.34446,1.34263,1.34289,552,7,0
2026-05-27 14:55:00,1.34288,1.34288,1.34169,1.34188,782,7,0
2026-05-27 15:00:00,1.34188,1.34266,1.34161,1.34239,574,7,0
2026-05-27 15:05:00,1.34238,1.34291,1.34238,1.34274,389,7,0
2026-05-27 15:10:00,1.34274,1.34298,1.34244,1.34293,310,7,0
2026-05-27 15:15:00,1.34293,1.34296,1.34254,1.34259,235,7,0
2026-05-27 15:20:00,1.3426,1.34283,1.34228,1.34256,311,7,0
2026-05-27 15:25:00,1.34252,1.34289,1.34247,1.34274,229,7,0
2026-05-27 15:30:00,1.34276,1.34314,1.34253,1.34306,400,7,0
2026-05-27 15:35:00,1.34304,1.34311,1.34276,1.3428499999999999,296,7,0
2026-05-27 15:40:00,1.34286,1.34305,1.3424,1.34249,336,7,0
2026-05-27 15:45:00,1.34249,1.34287,1.34219,1.34225,361,7,0
2026-05-27 15:50:00,1.34226,1.34252,1.3421699999999999,1.34241,273,7,0
2026-05-27 15:55:00,1.3424,1.34287,1.34234,1.34287,238,7,0
2026-05-27 16:00:00,1.34289,1.3429,1.34199,1.34228,412,7,0
2026-05-27 16:05:00,1.34227,1.3425,1.34216,1.34241,287,7,0
2026-05-27 16:10:00,1.34242,1.34268,1.34235,1.34253,240,7,0
2026-05-27 16:15:00,1.34257,1.34295,1.34257,1.34293,184,7,0
2026-05-27 16:20:00,1.34293,1.34314,1.34268,1.34269,210,7,0
2026-05-27 16:25:00,1.3427,1.34299,1.34267,1.34286,172,7,0
2026-05-27 16:30:00,1.34284,1.34291,1.34269,1.3427799999999999,158,7,0
2026-05-27 16:35:00,1.3427799999999999,1.34292,1.3427,1.3428200000000001,155,7,0
2026-05-27 16:40:00,1.34283,1.34298,1.3427,1.34273,156,7,0
2026-05-27 16:45:00,1.34273,1.34298,1.34273,1.3429,145,7,0
2026-05-27 16:50:00,1.34293,1.34317,1.3428499999999999,1.34303,149,7,0
2026-05-27 16:55:00,1.34301,1.3431199999999999,1.34286,1.34304,177,7,0
2026-05-27 17:00:00,1.34308,1.34315,1.34268,1.3428200000000001,250,7,0
2026-05-27 17:05:00,1.3428200000000001,1.34297,1.34205,1.34211,304,7,0
2026-05-27 17:10:00,1.3421,1.34228,1.34186,1.34198,263,7,0
2026-05-27 17:15:00,1.342,1.34226,1.34191,1.34206,225,7,0
2026-05-27 17:20:00,1.34205,1.34216,1.34188,1.34191,186,7,0
2026-05-27 17:25:00,1.34191,1.34206,1.3417,1.34186,173,7,0
2026-05-27 17:30:00,1.34186,1.34202,1.34174,1.3418,142,7,0
2026-05-27 17:35:00,1.3418,1.3421,1.34169,1.34193,200,7,0
2026-05-27 17:40:00,1.34193,1.34207,1.34181,1.34205,117,7,0
2026-05-27 17:45:00,1.34205,1.34238,1.34204,1.34238,169,7,0
2026-05-27 17:50:00,1.34239,1.34268,1.34235,1.3424800000000001,150,7,0
2026-05-27 17:55:00,1.3425099999999999,1.34281,1.34247,1.34261,192,7,0
2026-05-27 18:00:00,1.34259,1.34269,1.34229,1.34238,188,7,0
2026-05-27 18:05:00,1.34238,1.34244,1.34227,1.34232,158,7,0
2026-05-27 18:10:00,1.34232,1.34242,1.3421699999999999,1.34229,152,7,0
2026-05-27 18:15:00,1.34231,1.34259,1.34222,1.34246,188,7,0
2026-05-27 18:20:00,1.34245,1.34271,1.34245,1.34245,183,7,0
2026-05-27 18:25:00,1.34245,1.34276,1.34244,1.3427,170,7,0
2026-05-27 18:30:00,1.34269,1.34288,1.34254,1.34262,215,7,0
2026-05-27 18:35:00,1.3426,1.34276,1.3425500000000001,1.34267,152,7,0
2026-05-27 18:40:00,1.34267,1.3428,1.34257,1.34274,125,7,0
2026-05-27 18:45:00,1.34274,1.34279,1.34264,1.34277,155,7,0
2026-05-27 18:50:00,1.34277,1.34291,1.34272,1.34286,116,7,0
2026-05-27 18:55:00,1.3428499999999999,1.34308,1.3428499999999999,1.34293,144,7,0
2026-05-27 19:00:00,1.34291,1.34303,1.34279,1.34297,151,7,0
2026-05-27 19:05:00,1.34295,1.34315,1.34295,1.34307,128,7,0
2026-05-27 19:10:00,1.34307,1.34307,1.34284,1.34297,113,7,0
2026-05-27 19:15:00,1.34296,1.34299,1.34287,1.34294,95,7,0
2026-05-27 19:20:00,1.34295,1.34329,1.34293,1.3431199999999999,119,7,0
2026-05-27 19:25:00,1.3431199999999999,1.34317,1.34303,1.34308,165,7,0
2026-05-27 19:30:00,1.34308,1.34321,1.34292,1.3431,180,7,0
2026-05-27 19:35:00,1.3431199999999999,1.34326,1.3431,1.34322,97,7,0
2026-05-27 19:40:00,1.34323,1.34323,1.34301,1.34305,116,7,0
