timestamp,open,high,low,close,volume
1779893880000,83.88,83.88,83.86,83.88,258.4113
1779893940000,83.88,83.96,83.88,83.91,598.4447
1779894000000,83.91,83.93,83.89,83.92,929.7896
1779894060000,83.92,84.04,83.92,84.03,826.4973
1779894120000,84.03,84.1,84.03,84.03,603.0855
1779894180000,84.03,84.1,84.03,84.1,345.8619
1779894240000,84.1,84.11,83.97,83.98,1108.566
1779894300000,83.98,83.99,83.95,83.95,275.5794
1779894360000,83.95,84.03,83.95,84.0,1015.8683
1779894420000,84.0,84.04,83.99,84.04,413.096
1779894480000,84.04,84.04,83.98,83.99,147.3955
1779894540000,83.99,84.16,83.99,84.14,1053.052
1779894600000,84.14,84.26,84.12,84.26,1000.823
1779894660000,84.26,84.3,84.16,84.16,625.0415
1779894720000,84.16,84.22,84.16,84.19,375.1224
1779894780000,84.19,84.28,84.19,84.27,345.4815
1779894840000,84.27,84.32,84.26,84.3,734.639
1779894900000,84.3,84.32,84.27,84.32,757.594
1779894960000,84.32,84.45,84.32,84.44,464.1793
1779895020000,84.44,84.5,84.4,84.4,1730.1162
1779895080000,84.4,84.51,84.4,84.51,598.2196
1779895140000,84.51,84.51,84.39,84.4,656.4477
1779895200000,84.4,84.52,84.39,84.51,926.254
1779895260000,84.51,84.63,84.46,84.46,1273.4894
1779895320000,84.46,84.51,84.38,84.38,1130.6748
1779895380000,84.38,84.4,84.35,84.39,312.7593
1779895440000,84.39,84.54,84.39,84.54,414.0766
1779895500000,84.54,84.54,84.44,84.46,431.9673
1779895560000,84.46,84.5,84.41,84.49,586.7102
1779895620000,84.49,84.49,84.41,84.42,431.5524
1779895680000,84.42,84.47,84.42,84.43,308.0909
1779895740000,84.43,84.48,84.43,84.48,140.55
1779895800000,84.48,84.77,84.47,84.76,2248.1135
1779895860000,84.76,84.82,84.72,84.73,1533.6322
1779895920000,84.73,84.73,84.61,84.61,958.2474
1779895980000,84.61,84.65,84.59,84.59,451.9838
1779896040000,84.59,84.6,84.52,84.57,414.5426
1779896100000,84.57,84.69,84.57,84.68,778.4779
1779896160000,84.68,84.75,84.68,84.75,488.0308
1779896220000,84.75,84.75,84.67,84.72,569.1855
1779896280000,84.72,84.79,84.71,84.71,598.3508
1779896340000,84.71,84.71,84.65,84.67,391.5827
1779896400000,84.67,84.73,84.67,84.72,480.2025
1779896460000,84.72,84.72,84.67,84.67,196.6479
1779896520000,84.67,84.68,84.51,84.53,829.75
1779896580000,84.53,84.54,84.46,84.49,1110.2465
1779896640000,84.49,84.52,84.37,84.41,1123.5711
1779896700000,84.41,84.49,84.41,84.45,795.4449
1779896760000,84.45,84.46,84.43,84.46,491.7961
1779896820000,84.46,84.46,84.4,84.43,659.8682
1779896880000,84.43,84.45,84.39,84.45,358.7533
1779896940000,84.45,84.45,84.4,84.42,501.9632
1779897000000,84.42,84.51,84.42,84.49,665.3959
1779897060000,84.49,84.49,84.34,84.37,1027.9995
1779897120000,84.37,84.41,84.34,84.41,315.512
1779897180000,84.41,84.41,84.36,84.36,239.4343
1779897240000,84.36,84.37,84.23,84.27,1139.2602
1779897300000,84.27,84.27,84.21,84.27,358.5276
1779897360000,84.27,84.32,84.27,84.32,208.7323
1779897420000,84.32,84.34,84.31,84.31,489.5492
1779897480000,84.31,84.43,84.31,84.43,454.9899
1779897540000,84.43,84.44,84.43,84.43,132.2756
1779897600000,84.43,84.52,84.43,84.52,1464.9011
1779897660000,84.52,84.61,84.52,84.58,776.6664
1779897720000,84.58,84.65,84.55,84.65,1273.9683
1779897780000,84.65,84.75,84.55,84.55,2425.0608
1779897840000,84.55,84.59,84.47,84.47,783.8116
1779897900000,84.47,84.5,84.39,84.4,630.4433
1779897960000,84.4,84.49,84.4,84.46,372.9568
1779898020000,84.46,84.49,84.45,84.45,349.4552
1779898080000,84.45,84.51,84.39,84.51,671.0602
1779898140000,84.51,84.52,84.49,84.5,289.2031
1779898200000,84.5,84.58,84.5,84.58,363.9581
1779898260000,84.58,84.65,84.56,84.57,864.4507
1779898320000,84.57,84.6,84.54,84.59,1158.4372
1779898380000,84.59,84.6,84.52,84.52,489.047
1779898440000,84.52,84.52,84.46,84.47,249.1355
1779898500000,84.47,84.48,84.43,84.45,1415.1466
1779898560000,84.45,84.45,84.28,84.28,1180.7457
1779898620000,84.28,84.35,84.25,84.26,1833.9984
1779898680000,84.26,84.27,84.11,84.12,1182.9965
1779898740000,84.12,84.17,84.1,84.15,674.4982
1779898800000,84.15,84.2,84.1,84.1,723.0649
1779898860000,84.1,84.15,84.1,84.1,750.8276
1779898920000,84.1,84.1,84.05,84.05,268.899
1779898980000,84.05,84.13,84.05,84.13,354.0174
1779899040000,84.13,84.16,84.13,84.16,104.9251
1779899100000,84.16,84.21,84.16,84.18,437.3809
1779899160000,84.18,84.24,84.18,84.24,485.5372
1779899220000,84.24,84.24,84.16,84.16,349.3547
1779899280000,84.16,84.2,84.16,84.19,233.9008
1779899340000,84.19,84.2,84.15,84.16,224.5119
1779899400000,84.16,84.16,84.09,84.14,621.5077
1779899460000,84.14,84.17,84.08,84.17,1134.0021
1779899520000,84.17,84.24,84.17,84.24,344.1509
1779899580000,84.24,84.25,84.18,84.19,373.1967
1779899640000,84.19,84.19,84.06,84.06,411.2004
1779899700000,84.06,84.07,83.88,83.89,1215.4717
1779899760000,83.89,83.94,83.89,83.92,716.8354
1779899820000,83.92,84.0,83.92,83.99,510.6024
1779899880000,83.99,84.03,83.98,83.99,257.2527
1779899940000,83.99,84.0,83.97,83.97,75.9732
1779900000000,83.97,84.01,83.94,84.01,363.7609
1779900060000,84.01,84.06,84.01,84.06,336.4537
1779900120000,84.06,84.08,84.05,84.08,128.0374
1779900180000,84.08,84.15,84.07,84.14,519.3576
1779900240000,84.14,84.14,84.11,84.11,100.5218
1779900300000,84.11,84.14,84.09,84.14,314.2097
1779900360000,84.14,84.14,84.06,84.12,585.3231
1779900420000,84.12,84.14,84.09,84.09,272.308
1779900480000,84.09,84.09,84.05,84.07,265.0441
