time,open,high,low,close,tick_volume,spread,real_volume
2026-05-27 12:10:00,159.415,159.44,159.411,159.438,128,7,0
2026-05-27 12:15:00,159.438,159.446,159.325,159.405,509,7,0
2026-05-27 12:20:00,159.404,159.413,159.242,159.34,955,7,0
2026-05-27 12:25:00,159.338,159.342,159.27,159.326,485,7,0
2026-05-27 12:30:00,159.327,159.352,159.292,159.339,383,7,0
2026-05-27 12:35:00,159.341,159.353,159.288,159.34,434,7,0
2026-05-27 12:40:00,159.338,159.369,159.332,159.367,233,7,0
2026-05-27 12:45:00,159.367,159.391,159.366,159.371,251,7,0
2026-05-27 12:50:00,159.371,159.39,159.362,159.377,189,7,0
2026-05-27 12:55:00,159.377,159.42,159.374,159.412,171,7,0
2026-05-27 13:00:00,159.415,159.424,159.387,159.397,207,7,0
2026-05-27 13:05:00,159.397,159.424,159.388,159.417,171,7,0
2026-05-27 13:10:00,159.417,159.417,159.402,159.405,143,7,0
2026-05-27 13:15:00,159.405,159.414,159.399,159.404,109,7,0
2026-05-27 13:20:00,159.404,159.426,159.403,159.411,113,7,0
2026-05-27 13:25:00,159.411,159.429,159.398,159.414,175,7,0
2026-05-27 13:30:00,159.416,159.422,159.405,159.408,115,7,0
2026-05-27 13:35:00,159.408,159.433,159.405,159.419,153,7,0
2026-05-27 13:40:00,159.419,159.421,159.403,159.406,145,7,0
2026-05-27 13:45:00,159.407,159.408,159.382,159.402,185,7,0
2026-05-27 13:50:00,159.402,159.415,159.388,159.396,187,7,0
2026-05-27 13:55:00,159.398,159.398,159.38,159.38,113,7,0
2026-05-27 14:00:00,159.378,159.405,159.372,159.393,141,7,0
2026-05-27 14:05:00,159.393,159.413,159.39,159.401,129,7,0
2026-05-27 14:10:00,159.4,159.403,159.377,159.379,133,7,0
2026-05-27 14:15:00,159.38,159.389,159.367,159.381,131,7,0
2026-05-27 14:20:00,159.38,159.407,159.37,159.402,232,7,0
2026-05-27 14:25:00,159.402,159.408,159.389,159.393,124,7,0
2026-05-27 14:30:00,159.393,159.449,159.379,159.427,344,7,0
2026-05-27 14:35:00,159.426,159.437,159.413,159.424,214,7,0
2026-05-27 14:40:00,159.423,159.442,159.414,159.415,167,7,0
2026-05-27 14:45:00,159.413,159.471,159.401,159.465,193,7,0
2026-05-27 14:50:00,159.466,159.5,159.452,159.485,226,7,0
2026-05-27 14:55:00,159.487,159.506,159.471,159.505,315,7,0
2026-05-27 15:00:00,159.507,159.533,159.467,159.488,261,7,0
2026-05-27 15:05:00,159.485,159.486,159.457,159.465,169,7,0
2026-05-27 15:10:00,159.465,159.48,159.451,159.455,162,7,0
2026-05-27 15:15:00,159.455,159.489,159.455,159.479,138,7,0
2026-05-27 15:20:00,159.479,159.488,159.466,159.479,104,7,0
2026-05-27 15:25:00,159.48,159.481,159.456,159.468,102,7,0
2026-05-27 15:30:00,159.464,159.472,159.434,159.44,225,7,0
2026-05-27 15:35:00,159.442,159.461,159.438,159.458,127,7,0
2026-05-27 15:40:00,159.457,159.492,159.452,159.481,152,7,0
2026-05-27 15:45:00,159.482,159.503,159.456,159.494,157,7,0
2026-05-27 15:50:00,159.494,159.5,159.479,159.487,144,7,0
2026-05-27 15:55:00,159.485,159.491,159.47,159.47,102,7,0
2026-05-27 16:00:00,159.468,159.521,159.465,159.513,195,7,0
2026-05-27 16:05:00,159.514,159.519,159.497,159.516,136,7,0
2026-05-27 16:10:00,159.515,159.517,159.505,159.506,88,7,0
2026-05-27 16:15:00,159.506,159.514,159.492,159.495,74,7,0
2026-05-27 16:20:00,159.495,159.498,159.489,159.494,79,7,0
2026-05-27 16:25:00,159.494,159.502,159.484,159.5,91,7,0
2026-05-27 16:30:00,159.5,159.516,159.498,159.515,114,7,0
2026-05-27 16:35:00,159.515,159.515,159.495,159.498,102,7,0
2026-05-27 16:40:00,159.498,159.498,159.482,159.492,73,7,0
2026-05-27 16:45:00,159.492,159.495,159.488,159.489,80,7,0
2026-05-27 16:50:00,159.489,159.493,159.486,159.493,36,7,0
2026-05-27 16:55:00,159.495,159.503,159.491,159.495,93,7,0
2026-05-27 17:00:00,159.493,159.512,159.492,159.503,133,7,0
2026-05-27 17:05:00,159.503,159.541,159.501,159.539,124,7,0
2026-05-27 17:10:00,159.537,159.546,159.533,159.543,90,7,0
2026-05-27 17:15:00,159.542,159.557,159.537,159.552,98,7,0
2026-05-27 17:20:00,159.552,159.575,159.545,159.57,74,7,0
2026-05-27 17:25:00,159.57,159.575,159.559,159.567,64,7,0
2026-05-27 17:30:00,159.567,159.571,159.553,159.557,66,7,0
